ID,Weight
C151032,381
C165318,370
PDT00342,227
C1899,588
DimSearchStartBag,416
SkuOFF_FR_2005,123
C195070,374
C1555,973
PDT01503,467
cms_000008,715
SkuPDT00572,264
SkuOFF_FR_10135,151
SkuOFF_FR_9859,122
PDT01635,407
C157010,572
C1610,1587
cms_000002,588
SkuPDT00343,185
C227520,263
OFF_FR_306,433
PDT02246,627
OFF_FR_2058,231
OFF_FR_387,260
ViewEquipierStepByStepViewAccountEquipier,257
C139335,270
PDT586590,455
PDT02274,610
SkuPDT02248,177
SkuPDT02374,120
PDT12578,637
C131020,682
SkuPDT02235,114
C142020,433
PDT02008,335
SkuOFF_FR_352,182
PDT01272,634
SkuOFF_FR_121,289
OFF_FR_175,310
SkuOFF_FR_1985,109
C226011,485
OFF_FR_424,348
SkuPDT01563,124
PDT00457,326
C1150,1278
OFF_FR_161,348
OFF_FR_1452,245
C1820,769
SkuPDT00265,160
C111016,404
C143020,432
OFF_FR_2051,297
OFF_FR_430,399
OFF_FR_1877,429
C1652,1185
OFF_FR_141,460
ViewCheckoutAddressesReview,247
C231214,236
C205010,1031
C164030,501
PDT01831,593
C205050,506
OFF_FR_1180,329
SkuPDT01535,330
SkuOFF_FR_9456,96
SkuOFF_FR_9492,106
C226017,101
SkuPDT00331,154
PDT01641,321
PDT02222,360
PDT01562,325
SkuPDT176585,289
SkuPDT267586,121
PDT12619,195
SkuPDT01307,131
SkuPDT01923,114
C1515,784
PDT01167,403
C163210,802
C1980,731
SkuPDT01852,99
OFF_FR_1613,213
PDT02506,537
SkuPDT116585,196
C121510,279
SkuPDT12595,117
OFF_FR_030,206
SkuOFF_FR_1619,121
C2010,1089
PDT01378,242
PDT12602,308
PDT267586,304
SkuOFF_FR_008,302
C198030,174
SkuOFF_FR_1185,125
PDT00361,489
cms_000018,425
C2317,742
cms_000090,195
SkuOFF_FR_1809,139
PDT00426,417
PDT01406,322
PDT01529,354
C114011,377
C2235,865
SkuPDT00912,240
SkuOFF_FR_0881,90
PDT01533,296
OFF_FR_1177,314
SkuPDT02271,100
SkuOFF_FR_114,1515
SkuOFF_FR_2059,131
SkuOFF_FR_161,136
PDT00910,286
SkuOFF_FR_1072,131
C202810,298
SkuOFF_FR_1880,182
SkuPDT01436,194
C2314,1587
C2115,1379
C1450,912
C980203,308
PDT00583,131
SkuPDT01266,134
SkuPDT01405,131
SkuPDT501594,125
SkuOFF_FR_1991,98
OFF_FR_404,266
SkuOFF_FR_0661,131
