Source,Target,Traffic
WorldWideWeb,SkuPDT01543,292
WorldWideWeb,OFF_FR_1978,154
WorldWideWeb,PDT01464,153
C1120,PDT01833,153
C1320,OFF_FR_1054,160
WorldWideWeb,C221111,152
home,C15,152
C163220,OFF_FR_126,154
C1530,PDT02420,193
WorldWideWeb,SkuPDT531584,167
WorldWideWeb,OFF_FR_1833,150
ViewUserAccountShowRegisterClassic,ViewHeaderViewAccountIdentification,150
OFF_FR_132,C1920,150
WorldWideWeb,PDT00758,149
WorldWideWeb,SkuPDT02214,173
WorldWideWeb,OFF_FR_121,149
PDT02198,C1210,149
WorldWideWeb,PDT01534,148
WorldWideWeb,PDT02369,148
ViewUserAccountStart,ViewUsersStart,148
OFF_FR_537,C1410,147
ViewCartView,home,147
C1310,OFF_FR_107,147
WorldWideWeb,cms_000033,146
WorldWideWeb,C221211,146
WorldWideWeb,SkuOFF_FR_10078,146
home,C1180,146
ViewUserAccountShowRegisterClassic,ViewCartCheckoutClassic,146
WorldWideWeb,C203230,145
home,C1530,145
C2213,C2213,148
C173820,OFF_FR_262,176
ViewUserAccountStart,ViewOrderTemplateViewAll,145
WorldWideWeb,SkuOFF_FR_1747,145
WorldWideWeb,C195020,144
home,C18,144
C1110,OFF_FR_412,146
C1213,OFF_FR_1451,148
C12,C1212,169
ViewParametricSearchBrowse,ViewParametricSearchBrowse,144
WorldWideWeb,C151540,143
WorldWideWeb,/exploitsdesportives,143
home,C14,143
cms_000031,cms_000033,143
WorldWideWeb,ViewCartCheckoutClassic,142
C1440,PDT01632,146
C1216,PDT00308,170
WorldWideWeb,PDT00472,142
WorldWideWeb,SkuPDT01299,167
WorldWideWeb,OFF_FR_1262,141
home,C2313,141
C1430,PDT01638,141
C22,C2260,143
DimSearchStartBox,C11,141
WorldWideWeb,SkuPDT02320,299
home,ViewOrderTemplateViewAll,140
C1140,PDT00572,140
C1430,OFF_FR_129,140
C17,C1710,203
WorldWideWeb,SkuOFF_FR_409,147
WorldWideWeb,C192020,139
home,cms_000019,139
C1120,PDT176585,139
WorldWideWeb,C231314,138
WorldWideWeb,C204060,138
C1195,DimSearchStartBox,138
C2311,PDT01947,138
OFF_FR_1828,C1212,138
C1630,OFF_FR_1495,148
WorldWideWeb,SkuPDT02486,137
home,cms_000047,137
cms_000147,ViewLandingPageSportParticipate,137
WorldWideWeb,SkuPDT01555,140
WorldWideWeb,OFF_FR_297,136
WorldWideWeb,SkuOFF_FR_0853,152
WorldWideWeb,C118520,135
WorldWideWeb,C139320,135
WorldWideWeb,SkuOFF_FR_1508,145
PDT01531,C1120,135
cms_000047,C11,135
C12,C1211,162
ViewUserAddressListList,ViewOrdersSimpleOrderSearch,135
C1920,PDT00912,148
C191030,OFF_FR_1835,144
home,C1632,134
cms_000093,cms_000147,134
C1710,C1710,134
ViewElectronicInvoiceDispatch,ViewElectronicInvoiceDispatch,134
WorldWideWeb,C227013,133
C1510,PDT01422,135
